Hora;Temp
08:09:38;28,7
08:09:38;28,7
08:09:39;28,8
08:09:40;29,0
08:09:40;29,3
08:09:41;29,6
08:09:42;30,0
08:09:42;30,4
08:09:43;30,8
08:09:43;31,3
08:09:44;31,8
08:09:45;32,2
08:09:45;32,7
08:09:46;33,1
08:09:47;33,6
08:09:48;34,1
08:09:48;34,6
08:09:49;35,1
08:09:50;35,5
08:09:50;36,0
08:09:51;36,5
08:09:51;37,0
08:09:52;37,0
08:09:53;37,4
08:09:53;37,9
08:09:54;38,3
08:09:54;38,8
08:09:55;39,3
08:09:55;39,6
08:09:56;40,1
08:09:57;40,5
08:09:57;41,0
08:09:58;41,4
08:09:59;41,8
08:10:00;42,2
08:10:00;42,6
08:10:01;43,0
08:10:01;43,5
08:10:02;43,8
08:10:03;44,3
08:10:03;44,6
08:10:04;45,1
08:10:05;45,5
08:10:05;45,8
08:10:06;46,3
08:10:06;46,6
08:10:08;47,1
08:10:08;47,5
08:10:09;47,8
08:10:09;48,3
08:10:10;48,6
08:10:11;49,0
08:10:11;49,4
08:10:12;49,8
08:10:13;50,2
08:10:13;50,5
08:10:14;50,9
08:10:14;51,3
08:10:16;51,6
08:10:16;52,0
08:10:17;52,3
08:10:17;52,7
08:10:18;53,0
08:10:19;53,4
08:10:19;53,7
08:10:20;54,1
08:10:21;54,5
08:10:21;54,8
08:10:22;55,1
08:10:22;55,5
08:10:23;55,8
08:10:24;56,1
08:10:24;56,5
08:10:25;56,8
08:10:26;56,8
08:10:27;57,1
08:10:27;57,4
08:10:28;57,7
08:10:28;57,7
08:10:29;58,0
08:10:29;58,3
08:10:30;58,6
08:10:30;58,6
08:10:31;59,0
08:10:31;59,3
08:10:32;59,5
08:10:32;59,8
08:10:33;60,1
08:10:33;60,5
08:10:34;60,7
08:10:35;61,0
08:10:35;61,3
08:10:36;61,6
08:10:36;61,9
08:10:37;62,2
08:10:38;62,5
08:10:38;62,8
08:10:39;63,0
08:10:40;63,3
08:10:41;63,6
08:10:41;63,9
08:10:42;64,1
08:10:43;64,5
08:10:43;64,7
08:10:44;65,0
08:10:44;65,3
08:10:45;65,5
08:10:46;65,8
08:10:46;66,1
08:10:47;66,1
08:10:47;66,3
08:10:48;66,6
08:10:48;66,9
08:10:49;67,1
08:10:50;67,4
08:10:50;67,6
08:10:51;68,0
08:10:51;68,2
08:10:53;68,5
08:10:53;68,8
08:10:54;69,0
08:10:54;69,3
08:10:55;69,5
08:10:56;69,8
08:10:56;70,0
08:10:57;70,2
08:10:58;70,5
08:10:58;70,6
08:10:59;70,8
08:10:59;71,0
08:11:01;71,1
08:11:01;71,3
08:11:02;71,3
08:11:02;71,5
08:11:03;71,6
08:11:04;71,7
08:11:04;71,9
08:11:05;72,1
08:11:06;72,3
08:11:06;72,4
08:11:07;72,5
08:11:07;72,7
08:11:09;72,9
08:11:09;73,1
08:11:10;73,2
08:11:10;73,4
08:11:11;73,6
08:11:12;73,8
08:11:12;74,0
08:11:13;74,1
08:11:14;74,3
08:11:14;74,5
08:11:15;74,5
08:11:15;74,7
08:11:16;74,9
08:11:16;75,1
08:11:17;75,3
08:11:17;75,5
08:11:18;75,6
08:11:19;75,8
08:11:19;75,8
08:11:20;76,1
08:11:20;76,3
08:11:21;76,4
08:11:21;76,6
08:11:22;76,8
08:11:23;77,0
08:11:24;77,0
08:11:24;77,2
08:11:25;77,4
08:11:25;77,4
08:11:26;77,6
08:11:26;77,8
08:11:27;78,0
08:11:27;78,0
08:11:28;78,2
08:11:28;78,4
08:11:29;78,6
08:11:29;78,8
08:11:30;79,0
08:11:30;79,2
08:11:31;79,5
08:11:32;79,6
08:11:32;79,8
08:11:33;80,1